Row Name,Name (ARKit),Name (Mapped),Modifier (Mapped)
_UNDEFINED_Tongue_Raise,_UNDEFINED_,Tongue_Raise,1
TongueOut,TongueOut,Tongue_Out,1
_UNDEFINED_Tongue_Narrow,_UNDEFINED_,Tongue_Narrow,1
_UNDEFINED_Tongue_Lower,_UNDEFINED_,Tongue_Lower,1
_UNDEFINED_Tongue_Curl-U,_UNDEFINED_,Tongue_Curl-U,1
_UNDEFINED_Tongue_Curl-D,_UNDEFINED_,Tongue_Curl-D,1
MouthClose,MouthClose,Lip_Open,1
_UNDEFINED_Open,_UNDEFINED_,Open,1
_UNDEFINED_Explosive,_UNDEFINED_,Explosive,1
_UNDEFINED_Dental_Lip,_UNDEFINED_,Dental_Lip,1
_UNDEFINED_Tight-O,_UNDEFINED_,Tight-O,1
_UNDEFINED_Tight,_UNDEFINED_,Tight,1
_UNDEFINED_Wide,_UNDEFINED_,Wide,1
_UNDEFINED_Affricate,_UNDEFINED_,Affricate,1
HeadYaw,HeadYaw,_UNDEFINED_,1
HeadPitch,HeadPitch,_UNDEFINED_,1
HeadRoll,HeadRoll,_UNDEFINED_,1
